Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0764;CFE5G45;0;6;42;Frota Fixa;;Ambev;Não
0764;CFZ6E28;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CFZ8442;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CFZ8E28;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CGB7387;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CHT9J12;0;28;42;Frota Fixa;;Ambev;Não
0764;CHU3616;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CIS2F85;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
BITREM;CJH5154;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
yyyyyyyy;CJU1182;0;28;42;Frota Fixa;;Ambev;Não
0764;CKF6847;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CKF8674;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CKJ1F26;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CKU0580;0;28;42;Frota Fixa;;Ambev;Não
0764;CLH9091;0;28;42;Frota Fixa;;Ambev;Não
0764;CLK1155;0;14;42;Frota Fixa;;Ambev;Não
